"film_id","year","length","budget","votes","genre","rating"
45327,1984,103,14.4,17,"Comedy",8
55943,2001,60,10.2,11,"Documentary",8.1
7752,1999,105,13.4,3216,"Documentary",7.9
34995,1970,135,11.6,73,"Comedy",7.1
21585,1939,117,17,1988,"Action",8
20729,1961,90,10.7,7,"Action",2.8
16345,1978,95,14.7,134,"Comedy",8.3
39560,1975,110,14,8,"Drama",2.4
274,1999,20,12,5,"Comedy",8.1
25005,1998,101,13.4,1645,"Comedy",8.6
44780,1974,127,10.2,15,"Drama",4.1
51869,1955,99,12.4,92,"Drama",4.3
39276,1968,9,13,11,"Documentary",8.4
28669,2004,103,16.1,317,"Drama",4.1
10849,2000,555,16.8,33,"Drama",4.6
19773,1956,90,14.3,12,"Drama",5.4
32320,1962,90,8.8,49,"Comedy",1.3
34782,1997,90,11.4,15,"Action",3.8
58291,1968,111,16.7,806,"Comedy",7.8
35411,1932,56,11.7,11,"Action",4
33118,1998,85,12.9,27,"Action",4.5
57298,1948,104,13,142,"Drama",3
7223,1962,82,16.9,953,"Action",8.1
28002,1953,109,12.7,729,"Comedy",2.2
57279,1926,89,11,17,"Drama",4.1
2743,1936,76,15.5,13,"Comedy",7.1
28313,1994,85,13.4,26,"Drama",4.2
25961,1950,74,10,6,"Comedy",7.9
6328,1997,93,11.7,91,"Drama",3.8
11378,1999,5,12.6,28,"Short",7.4
39838,1941,70,12.1,7,"Action",4.2
12571,1987,95,13.1,45,"Action",3.1
40316,1943,22,10.3,18,"Documentary",7.2
8460,1978,84,9.7,51,"Comedy",8.4
34493,1989,92,13.1,54,"Drama",4.2
56378,1966,91,10.6,7,"Drama",3.7
38901,2002,13,12.7,10,"Comedy",7.6
43751,1953,84,11.6,11,"Action",5
19189,1992,NA,13.2,143,"Comedy",7.5
26164,1974,78,14.9,13,"Comedy",8.5
57966,1998,90,12.7,97,"Comedy",4.8
34945,2000,82,7.6,20,"Comedy",3.3
13423,1943,60,7.4,32,"Documentary",4.1
49918,1930,75,12.2,5,"Comedy",8.3
12229,1996,100,14.9,19,"Drama",2.8
26297,2003,95,15.7,6,"Action",5
8292,1935,81,9.9,150,"Action",4.5
24912,1973,87,11.8,44,"Action",4.6
40376,1992,90,13,41,"Action",4.2
47242,2003,89,12.8,31,"Action",8
16302,2001,91,11.7,373,"Comedy",7.4
28941,1986,83,11.8,10,"Comedy",7.7
53499,1999,11,4.1,22,"Short",7.9
58225,1956,84,9.1,13,"Action",3.1
19182,1994,98,15,7,"Documentary",7.6
24323,1987,60,13,6,"Action",3.5
12523,1992,92,12.6,18,"Action",4.1
35262,1942,86,14,35,"Comedy",7.7
2818,2002,94,16.4,53,"Comedy",8.1
46931,1997,100,8.6,16,"Documentary",3.2
16373,2001,NA,12.9,3474,"Drama",4
34507,1968,95,12.8,9,"Action",2.4
11316,1973,29,13.3,8,"Short",7.7
28245,1966,NA,13.6,6,"Action",4.3
43282,2001,13,13.9,11,"Short",7.7
53510,2004,NA,13.4,8,"Action",4
10748,1932,54,18,13,"Drama",3.7
48060,1940,72,18.7,9,"Comedy",8.2
30377,1965,85,14.2,8,"Action",4.7
88,2000,95,5.6,50,"Comedy",3.6
57458,1978,NA,11,38,"Drama",3.8
27711,1991,95,12.6,5,"Drama",3.8
29240,1989,80,15.1,55,"Drama",4.5
13671,2001,88,10,237,"Action",4.8
27216,1966,90,18.1,10,"Action",7.2
10280,1934,73,13.9,67,"Drama",4.9
2934,1966,98,10.2,221,"Action",2.3
57407,1995,90,13.3,16,"Action",5
23348,1966,85,11.1,27,"Comedy",7.8
16553,1996,110,11.3,60,"Drama",3.5
28121,1936,80,12.1,56,"Comedy",8.9
55776,1943,NA,8.4,5,"Comedy",4.4
26689,1966,83,13,25,"Action",4.1
53578,1938,77,11,13,"Comedy",7.9
33611,1971,89,9.8,238,"Comedy",7.9
50444,1996,NA,13.3,60,"Comedy",4.5
33413,1935,7,18.5,41,"Animation",7.9
20186,1953,90,8.8,85,"Drama",4
44013,1954,9,14.4,6,"Short",8
32311,2000,102,10.2,44,"Drama",4.2
54471,1966,6,11.1,5,"Animation",5.1
27626,2004,86,13.6,5,"Drama",5.7
957,1970,100,12.9,61,"Drama",2.9
22500,1994,108,8.8,11453,"Drama",3.3
24408,2003,90,8.2,462,"Drama",2.8
24513,1933,90,13.7,24,"Drama",4.4
54356,1977,50,13.5,22,"Action",4.1
13084,1996,100,9,5,"Comedy",4.3
31537,1976,135,12.7,76,"Drama",4.8
53181,1989,89,4.3,24,"Action",3.8
19316,1967,102,12,6,"Comedy",3.5
52589,1993,85,11.8,59,"Action",3.9
57941,2001,NA,11.3,25,"Action",4.2
26029,1994,112,11.5,181,"Drama",4.5
25642,1964,92,9.7,7,"Action",3.6
44827,1977,102,14.9,88,"Action",3.7
6390,1992,86,7.6,59,"Action",3.5
36193,1941,43,8.3,5,"Comedy",7.9
39923,1962,85,7.2,5,"Action",4.5
53179,1952,7,5.7,25,"Animation",5.1
9296,2003,111,15.4,691,"Action",5.6
32523,2002,113,14.6,504,"Comedy",8.2
5240,1990,90,10.7,109,"Action",7.7
34312,2001,11,12.3,7,"Animation",8.3
47800,1964,100,16.1,21,"Comedy",8.3
48220,2001,84,13,2305,"Action",5.3
54125,2002,95,6.8,8,"Drama",3.9
52376,1942,99,14.8,3579,"Comedy",8.5
15038,1971,90,13.5,88,"Comedy",3.7
586,1996,17,14.9,26,"Drama",7.6
8246,1948,18,6.9,13,"Short",8.4
